article_id,expr_type,value,char_offset
1051.txt,deictic,Thursday,3096
1051.txt,deictic,Friday,1186
1052.txt,deictic,year,200
1052.txt,deictic,year,1185
1052.txt,deictic,week,2152
1052.txt,deictic,summer,574
1052.txt,deictic,Sunday,2180
1053.txt,deictic,year,885
1053.txt,deictic,Wednesday,694
1054.txt,deictic,last August,1057
1054.txt,deictic,Thursday,1709
1054.txt,deictic,Saturday,218
1055.txt,deictic,year,234
1055.txt,deictic,year,1520
1055.txt,deictic,spring,592
1056.txt,deictic,year,157
1056.txt,deictic,last year,284
1056.txt,deictic,Sunday,133
1057.txt,deictic,year,728
1057.txt,deictic,today,1622
1057.txt,deictic,this November,1306
1057.txt,deictic,autumn,536
1057.txt,deictic,autumn,1238
1057.txt,deictic,autumn,1369
1057.txt,deictic,Saturday,126
1057.txt,deictic,Saturday,1656
1058.txt,deictic,year,170
1058.txt,deictic,year,1002
1059.txt,deictic,year,628
1059.txt,deictic,Saturday,72
1061.txt,deictic,next year,136
1061.txt,deictic,week,1400
1061.txt,deictic,summer,294
1062.txt,deictic,last year,289
1063.txt,deictic,today,428
1063.txt,deictic,today,449
1063.txt,deictic,year,529
1063.txt,deictic,year,1084
1063.txt,deictic,year,1234
1063.txt,deictic,year,1345
1063.txt,deictic,week,2295
1064.txt,deictic,fall,664
1065.txt,deictic,year,694
1065.txt,deictic,year,759
1066.txt,deictic,last week,823
1067.txt,deictic,year,144
1067.txt,deictic,Monday,254
1067.txt,deictic,Tuesday,702
1068.txt,deictic,before Wednesday,71
1068.txt,deictic,Sunday,710
1070.txt,deictic,year,989
1070.txt,deictic,year,1256
1070.txt,deictic,year,1445
1070.txt,deictic,week,2261
1070.txt,deictic,year,2315
1070.txt,deictic,year,2665
1070.txt,deictic,year,2855
1070.txt,deictic,year,2986
1070.txt,deictic,year,3913
1070.txt,deictic,year,4181
1070.txt,deictic,year,4556
1070.txt,deictic,winter,2932
1071.txt,deictic,week,84
1071.txt,deictic,week,1069
1071.txt,deictic,week,1961
1071.txt,deictic,Tuesday,268
1071.txt,deictic,Friday,1439
1071.txt,deictic,Sunday,524
1072.txt,deictic,week,622
1072.txt,deictic,Wednesday,1842
1075.txt,deictic,year,1560
1075.txt,deictic,next year,1657
1075.txt,deictic,year,1683
1075.txt,deictic,year,1778
1075.txt,deictic,last year,1831
1075.txt,deictic,year,2049
1075.txt,deictic,spring,2701
